name,amenity,library_id,operator_type,operator,street,housenumber,postcode,city,country,opening_hours,wheelchair_accessible,toilets_wheelchair,level,internet_access,isil_code,email,phone,contact_phone,website,contact_website,final_email,final_phone,website_url,longitude,latitude,geometry,district,neighbourhood,neighbourhood_id,district_id
Schulbiblothek,library,3478842465,,Sophie-Scholl-Oberschule,Pallasstraße,,10781,Berlin,Germany,,,,,,,,,,,,,,,13.3578235,52.4943297,POINT (13.3578235 52.4943297),Tempelhof-Schöneberg,Schöneberg,0701,11007007
Joseph Wulf Bibliothek,library,3518345658,,,Am Großen Wannsee,58,14109,Berlin,DE,"Mo-Fr 11:00-16:00; PH,Sa,Su off",,,,,DE-B1525,,,+49 30 805 00120,,https://www.ghwk.de/de/bibliothek,library@ghwk.de,+49 30 805 00120,https://www.ghwk.de/de/bibliothek,13.1656465,52.4327843,POINT (13.1656465 52.4327843),Steglitz-Zehlendorf,Wannsee,0607,11006006
Bibliothek des Deutschen Bundestages,library,3806550974,government,Deutscher Bundestag,Adele-Schreiber-Krieger-Straße,1,10117,Berlin,DE,"""nicht öffentlich zugänglich; nur auf Antrag""",,,,,DE-281,,,+49 30 22733073,,https://www.bundestag.de/dokumente/bibliothek,,+49 30 22733073,https://www.bundestag.de/dokumente/bibliothek,13.3772992,52.5202388,POINT (13.3772992 52.5202388),Mitte,Mitte,0101,11001001
Bibliothek Tiergarten-Süd,library,3837620248,,,Lützowstraße,27,10785,Berlin,DE,Mo-Fr 12:30-18:00,yes,,,,,,,,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-tiergarten-sued/,,,,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-tiergarten-sued/,13.3634291,52.5037597,POINT (13.3634291 52.5037597),Mitte,Tiergarten,0104,11001001
Umweltbibliothek,library,3952396497,,Umweltbundesamt,Bismarckplatz,1,14193,Berlin,Germany,,,,,,,,,,,,,,,13.2826514,52.4921781,POINT (13.2826514 52.4921781),Charlottenburg-Wilmersdorf,Grunewald,0404,11004004
Anna-Seghers-Bibliothek,library,3981795844,,,Prerower Platz,2,13051,Berlin,DE,"Mo,Tu 09:00-19:00; We 13:00-19:00; Th,Fr 09:00-18:00; Sa 09:00-13:00",yes,,"1,2,3",,,,,+49 30 92796410,,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/anna-seghers-bibliothek/,,+49 30 92796410,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/anna-seghers-bibliothek/,13.5061185,52.5649762,POINT (13.5061185 52.5649762),Lichtenberg,Neu-Hohenschönhausen,1109,11011011
Bibliothek der Stiftung Topographie des Terrors,library,4114649179,,,Niederkirchnerstraße,8,10963,Berlin,DE,Mo-Fr 10:00-17:00,yes,,,wlan,,bibliothek@topographie.de,+4930 254509-23,,https://www.topographie.de/bibliothek/,,bibliothek@topographie.de,+4930 254509-23,https://www.topographie.de/bibliothek/,13.383896,52.5067416,POINT (13.383896 52.5067416),Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
Zweigbibliothek Asien-/Afrikawissenschaften und Islamische Theologie,library,4221527005,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Invalidenstraße,118,10115,Berlin,DE,Mo-Fr 09:00-17:00,yes,,0,yes,DE-11-103,,,+49 30 209366093,,https://www.ub.hu-berlin.de/de/standorte/zwbasienafrika,asa@ub.hu-berlin.de,+49 30 209366093,https://www.ub.hu-berlin.de/de/standorte/zwbasienafrika,13.3859469,52.5305537,POINT (13.3859469 52.5305537),Mitte,Mitte,0101,11001001
Stadtteilbibliothek Kladow,library,4271022996,,Stadtbibliothek Spandau,Sakrower Landstraße,2,14089,Berlin,Germany,"Mo,Th 13:00-19:00; Tu,We 13:00-17:00; Fr 09:00-15:00",yes,yes,0,terminal,,,+49 30 8161-5889,,http://www.berlin.de/stadtbibliothek-spandau/bibliotheken/kladow/artikel.182136.php,,,+49 30 8161-5889,http://www.berlin.de/stadtbibliothek-spandau/bibliotheken/kladow/artikel.182136.php,13.1429895,52.453258,POINT (13.1429895 52.453258),Spandau,Kladow,0506,11005005
Bibliothek Am Wasserturm,library,4432723694,,,Prenzlauer Allee,227-228,10405,Berlin,Germany,Mo-Sa 08:00-22:00,,yes,,wlan,,,+49 30 902953921,,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bibliothek-am-wasserturm/,,,+49 30 902953921,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bibliothek-am-wasserturm/,13.419505,52.5331584,POINT (13.419505 52.5331584),Pankow,Prenzlauer Berg,0301,11003003
Bibliothek,library,4706616647,public,Stiftung Topographie des Terrors,Britzer Straße,5,12439,Berlin,Germany,,yes,,,yes,DE-2401,bibliothek-sw@topographie.de,+49 30 63 90 288 23,,https://www.ns-zwangsarbeit.de/bibliothek/,,bibliothek-sw@topographie.de,+49 30 63 90 288 23,https://www.ns-zwangsarbeit.de/bibliothek/,13.5189284,52.4525785,POINT (13.5189284 52.4525785),Treptow-Köpenick,Niederschöneweide,0905,11009009
Medienforum Berlin,library,4805428213,,,Levetzowstraße,1-2,10555,Berlin,Germany,"Mo,Tu 13:00-18:00; We 10:00-15:00; Th 13:00-18:00",,,,,DE-B1585,mf.info@senbjw.berlin.de,+49 30 90 22 99-111,,https://www.berlin.de/sen/bildung/unterricht/medien/medienforum/,,mf.info@senbjw.berlin.de,+49 30 90 22 99-111,https://www.berlin.de/sen/bildung/unterricht/medien/medienforum/,13.3308065,52.5222118,POINT (13.3308065 52.5222118),Mitte,Moabit,0102,11001001
Hansabibliothek,library,4806499594,,,Altonaer Straße,15,10557,Berlin,Germany,"Mo, Fr 13:00-19:30; Tu-Th 12:00-18:00; Sa 10:00-14:00",yes,yes,,,,service@stb-mitte.de,+4930901832156,,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/hansabibliothek/,,service@stb-mitte.de,+4930901832156,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/hansabibliothek/,13.3427522,52.5170943,POINT (13.3427522 52.5170943),Mitte,Hansaviertel,0103,11001001
unknown,library,5062614778,,,Alt-Moabit,140,10557,Berlin,Germany,,,,1,,,,,,,,,,,13.3638336,52.521758,POINT (13.3638336 52.521758),Mitte,Moabit,0102,11001001
Zweigbibliothek Musikwissenschaft,library,5245440325,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Am Kupfergraben,5,10117,Berlin,DE,"Mo-Fr 10:00-18:00; Feb 17-Apr 10, PH Mo-Fr 10:00-16:00",yes,,,yes,DE-11-128,,,+49 30 20932788,,https://www.ub.hu-berlin.de/de/standorte/zwbmusikwissenschaft,musikwissenschaften@ub.hu-berlin.de,+49 30 20932788,https://www.ub.hu-berlin.de/de/standorte/zwbmusikwissenschaft,13.395109,52.5203781,POINT (13.395109 52.5203781),Mitte,Mitte,0101,11001001
Peter-Weiss-Bibliothek,library,5275440213,,AGRARBÖRSE Deutschland Ost e.V.,Hellersdorfer Promenade,24,12627,Berlin,Germany,"Tu,We 14:00-18:00; PH off || ""nach Vereinbarung""",,,,terminal,,pwb-hellersdorf@peter-weiss-bibliothek.de,+49 30 99282525,,https://www.peter-weiss-bibliothek.de/,,pwb-hellersdorf@peter-weiss-bibliothek.de,+49 30 99282525,https://www.peter-weiss-bibliothek.de/,13.6068282,52.5416071,POINT (13.6068282 52.5416071),Marzahn-Hellersdorf,Hellersdorf,1005,11010010
Bibliothek im Märkischen Viertel,library,5318467222,public,"Bezirksamt Reinickendorf Abteilung Bauen, Bildung und Kultur",Wilhelmsruher Damm,142c,13439,Berlin,Germany,"Mo 13:00-19:00; Tu,We 11:00-17:00; Th 13:00-19:00; Fr 11:00-17:00",,,,,,,+49 30 902943833,,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/bibliothek-im-maerkischen-viertel/bibliothek-im-maerkischen-viertel-im-fontane-haus-336916.php,,,+49 30 902943833,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/bibliothek-im-maerkischen-viertel/bibliothek-im-maerkischen-viertel-im-fontane-haus-336916.php,13.3523189,52.5976675,POINT (13.3523189 52.5976675),Reinickendorf,Märkisches Viertel,1210,11012012
Charité Medizinische Bibliothek Campus Mitte,library,5533888846,,,Philippstraße,11/12,10115,Berlin,DE,Mo-Fr 09:00-20:00,,,0,wlan,,,,,https://bibliothek.charite.de/,,,,https://bibliothek.charite.de/,13.3801597,52.5261622,POINT (13.3801597 52.5261622),Mitte,Mitte,0101,11001001
Stadtteilbibliothek Frohnau,library,5643477411,,,Fuchssteinerweg,17,13465,Berlin,DE,Mo 13:00-19:00; Tu 13:00-17:00; We off; Th 13:00-19:00; Fr 11:00-17:00,yes,,,wlan,,,,+49 30 4010 9171,,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/stadtteilbibliothek-frohnau/artikel.336740.php,Bibliothek.Frohnau@gmail.com,+49 30 4010 9171,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/stadtteilbibliothek-frohnau/artikel.336740.php,13.295141,52.63544,POINT (13.295141 52.63544),Reinickendorf,Frohnau,1205,11012012
Kurt-Tucholsky-Bibliothek,library,5735063971,,,Rostocker Straße,32b,10553,Berlin,DE,"Mo-Th 12:30-18:00; Fr,Sa,Su,PH off",yes,yes,,,,,,,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/kurt-tucholsky-bibliothek/,,,,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/kurt-tucholsky-bibliothek/,13.3262022,52.531583,POINT (13.3262022 52.531583),Mitte,Moabit,0102,11001001
Stadtteilbibliothek Haselhorst,library,5798364681,,Bezirksamt Spandau von Berlin,Gartenfelder Straße,104,13599,Berlin,DE,"Mo,Th 13:00-19:00; Tu,We,Fr 13:00-17:00",yes,,,wlan,,,,,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/haselhorst/stadtteilbibliothek-haselhorst-182097.php,,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/haselhorst/stadtteilbibliothek-haselhorst-182097.php,13.2390484,52.5429259,POINT (13.2390484 52.5429259),Spandau,Haselhorst,0502,11005005
Patientenbibliothek,library,5838369566,,,Grazer Damm,,12157,Berlin,Germany,"Mo,Tu,Fr 13:00-17:00; Th 15:00-18:00",,,,yes,,,,,,,,,,13.347826,52.4602755,POINT (13.347826 52.4602755),Tempelhof-Schöneberg,Schöneberg,0701,11007007
Bücherstube,library,5977960159,,Berliner Gesellschaft für Integration mbH,Briesestraße,79,12053,Berlin,DE,Mo-Fr 08:00-14:00,,,,,,,,+49 30 68975904,,,,+49 30 68975904,,13.4273818,52.4769397,POINT (13.4273818 52.4769397),Neukölln,Neukölln,0801,11008008
Zweigbibliothek Germanistik,library,6046124564,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Dorotheenstraße,24,10117,Berlin,DE,Mo-Fr 09:30-19:00,yes,,0;-1,wlan,DE-11-105,germ@ub.hu-berlin.de,+49 30 2093-9782,,,https://www.ub.hu-berlin.de/de/standorte/zwbgermanistik,germ@ub.hu-berlin.de,+49 30 2093-9782,https://www.ub.hu-berlin.de/de/standorte/zwbgermanistik,13.3927337,52.520016,POINT (13.3927337 52.520016),Mitte,Mitte,0101,11001001
Mathematische Fachbibliothek,library,6275993185,,,Straße des 17. Juni,136,10623,Berlin,DE,Mo-Fr 08:00-21:00; Sa 10:00-18:00,,,,wlan,,library@math.tu-berlin.de,+49 30 314 22749,,https://www.math.tu-berlin.de/mfb/mfb/,,library@math.tu-berlin.de,+49 30 314 22749,https://www.math.tu-berlin.de/mfb/mfb/,13.3251316,52.5140827,POINT (13.3251316 52.5140827),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
ESCP Bibliothek am Campus Berlin,library,6508696687,,,Heubnerweg,8-10,14059,Berlin,Germany,Mo-Th 09:00-21:00; Fr 09:00-17:00,,,,,,,,,,,,,,13.2890223,52.5242453,POINT (13.2890223 52.5242453),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
Bibliothek Rechtswissenschaft,library,6720863485,university,Universitätsbibliothek der Freien Universität Berlin,Van't-Hoff-Straße,8,14195,Berlin,DE,Mo-Fr 09:00-22:00; Sa 09:00-20:00; Su 12:00-20:00,yes,yes,,,DE-188-808,,,+49 30 83852161,,https://www.jura.fu-berlin.de/bibliothek/,,+49 30 83852161,https://www.jura.fu-berlin.de/bibliothek/,13.2813366,52.4478314,POINT (13.2813366 52.4478314),Steglitz-Zehlendorf,Dahlem,0605,11006006
ICI Berlin,library,6880841994,,,Christinenstraße,18-19,10119,Berlin,DE,,yes,,,,,,+49 30 473 7291-10,,https://www.ici-berlin.org/library/,,,+49 30 473 7291-10,https://www.ici-berlin.org/library/,13.4107782,52.5321836,POINT (13.4107782 52.5321836),Pankow,Prenzlauer Berg,0301,11003003
"Bildagentur für Kunst, Kultur und Geschichte",library,6976235391,,Stiftung Preußischer Kulturbesitz,Märkisches Ufer,16;18,10179,Berlin,Germany,Mo-Fr 09:00-17:00,,,,,DE-1b,,,+49 30 27 87 92-0,,https://www.bpk-bildagentur.de/,kontakt@bpk-images.de,+49 30 27 87 92-0,https://www.bpk-bildagentur.de/,13.4103123,52.5128877,POINT (13.4103123 52.5128877),Mitte,Mitte,0101,11001001
Teilbibliothek Japanologie,library,7232178641,university,Universitätsbibliothek der Humboldt-Universität zu Berlin,Johannisstraße,10,10117,Berlin,Germany,Mo-Th 10:00-15:30; Fr 10:00-14:00; Mar 6-31 off,,,0,wlan,,asa@ub.hu-berlin.de,+49 30 2093-66 130,,,,asa@ub.hu-berlin.de,+49 30 2093-66 130,,13.3920937,52.5246239,POINT (13.3920937 52.5246239),Mitte,Mitte,0101,11001001
Bibliothek der Jüdischen Gemeinde,library,7798570856,,,Lotte-Lenya-Bogen,,10623,Berlin,Germany,,,,,,,,,,,,,,,13.3283687,52.5043465,POINT (13.3283687 52.5043465),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
Katholische öffentliche Bücherei,library,8097837782,,,Pfarrer-Lütkehaus-Platz,,12307,Berlin,Germany,"""Jeden 1. und 3. Sonntag im Monat von 9:30-12:30 Uhr geöffnet.""",,,,,,,,,,,,,,13.3980521,52.3859756,POINT (13.3980521 52.3859756),Tempelhof-Schöneberg,Lichtenrade,0706,11007007
Stadtteilbibliothek Kaulsdorf,library,8151138614,,,Neue Grottkauer Straße,5,12619,Berlin,DE,"Mo,Tu,Th 12:00-19:00; We,Fr 09:00-13:00; Sa,Su,PH off",yes,,1,,,,,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-kaulsdorf-nord/,,,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-kaulsdorf-nord/,13.5928919,52.5293637,POINT (13.5928919 52.5293637),Marzahn-Hellersdorf,Hellersdorf,1005,11010010
Stadtteilbibliothek Heerstraße,library,8435515108,,,Obstallee,22F,13593,Berlin,DE,,,,,,,,,,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/heerstrasse/stadtteilbibliothek-heerstrasse-182099.php,,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/heerstrasse/stadtteilbibliothek-heerstrasse-182099.php,13.1654101,52.5224043,POINT (13.1654101 52.5224043),Spandau,Staaken,0504,11005005
Stefan-Heym-Kinderbibliothek,library,9067856748,,,Dörpfeldstraße,52,12489,Berlin,Germany,"Mo,We-Su off; Tu 11:00-18:00",yes,,0,,,stadtbibliothek-adlershof@ba-tk.berlin.de,,+49 30 902975731,,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/adlershof/,stadtbibliothek-adlershof@ba-tk.berlin.de,+49 30 902975731,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/adlershof/,13.5496155,52.4385838,POINT (13.5496155 52.4385838),Treptow-Köpenick,Adlershof,0907,11009009
Gertrud-Junge-Bibliothek,library,9077951933,,,Bat-Yam-Platz,1,12353,Berlin,DE,"Mo, Fr 11:00-15:00; Tu-Th 13:00-19:00",,,,,,,,+49 30 902391494,,https://www.gropiusstadt-berlin.de/einrichtungen-projekte/stadtteilbibliothek-im-gemeinschaftshaus,gemeinschaftshaus@stadtbibliothek-neukoelln.de,+49 30 902391494,https://www.gropiusstadt-berlin.de/einrichtungen-projekte/stadtteilbibliothek-im-gemeinschaftshaus,13.4620726,52.425675,POINT (13.4620726 52.425675),Neukölln,Gropiusstadt,0805,11008008
Gertrud-Haß-Bibliothek,library,9347421347,,,Alt-Rudow,45,12357,Berlin,DE,"Mo,We,Fr 11:00-15:00; Tu,Th 13:00-18:00",yes,,,yes,,,,+49 30 902391940,,https://www.berlin.de/stadtbibliothek-neukoelln/bibliotheken/gertrud-hass-bibliothek/,rudow@stadtbibliothek-neukoelln.de,+49 30 902391940,https://www.berlin.de/stadtbibliothek-neukoelln/bibliotheken/gertrud-hass-bibliothek/,13.4943156,52.4189356,POINT (13.4943156 52.4189356),Neukölln,Rudow,0804,11008008
Kollektivbibliothek,library,9780942686,,,Mariannenplatz,2B,10997,Berlin,DE,,,,,,,,,,,https://kollektivbibliothek.noblogs.org/,,,https://kollektivbibliothek.noblogs.org/,13.4230798,52.5037159,POINT (13.4230798 52.5037159),Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
Bereichsbibliothek Architektur und Kunstwissenschaft,library,10197004045,,,Straße des 17. Juni,152,10623,Berlin,Germany,Mo-Fr 10:00-20:00,yes,,,wlan,,,+493031422414,,,,,+493031422414,,13.3240024,52.5133684,POINT (13.3240024 52.5133684),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
Bereichsbibliothek Physik,library,11309948213,,,Hardenbergstraße,36,10623,Berlin,Germany,,,,2,,DE-83-1022,,,,,,,,,13.3240187,52.5109671,POINT (13.3240187 52.5109671),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
BIbliothek des Schiller-Gymnasiums,library,11446515471,,,Schillerstraße,125,10625,Berlin,Germany,Mo-Fr 09:30-13:00,,,,,,,,,https://sgym.de/schulorganisation/schulbibliothek/,,,,https://sgym.de/schulorganisation/schulbibliothek/,13.3212359,52.5104545,POINT (13.3212359 52.5104545),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
WiKo Bibliothek,library,11585204402,,Evangelisches Johannesstift Berlin,Schönwalder Allee,26,13587,Berlin,Germany,24/7,,,,,,,,,,,,,,13.1967881,52.5698457,POINT (13.1967881 52.5698457),Spandau,Hakenfelde,0507,11005005
Stefan-Heym-Erwachsenenbibliothek,library,11778098531,,,Dörpfeldstraße,54,12489,Berlin,Germany,"Mo-We,Fr-Su off; Th 11:00-18:00",,,,,,,,+49 30 902975731,,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/adlershof/,stadtbibliothek-adlershof@ba-tk.berlin.de,+49 30 902975731,https://www.berlin.de/stadtbibliothek-treptow-koepenick/bibliotheken/adlershof/,13.5497223,52.4388718,POINT (13.5497223 52.4388718),Treptow-Köpenick,Adlershof,0907,11009009
HWR Bibliothek Campus Lichtenberg,library,11805773403,,,Alt-Friedrichsfelde,60,10315,Berlin,Germany,Mo 10:00-18:00; Tu-Th 10:00-19:00; Fr 10:00-17:00,yes,,,,,,,+49 30 30877-2598,,http://www.hwr-berlin.de/service/bibliothek/campus-lichtenberg/,,+49 30 30877-2598,http://www.hwr-berlin.de/service/bibliothek/campus-lichtenberg/,13.526379,52.5079479,POINT (13.526379 52.5079479),Lichtenberg,Friedrichsfelde,1101,11011011
Zentralbibliothek der Freien Universität Berlin,library,12160416171,university,Universitätsbibliothek der Freien Universität Berlin,Garystraße,39,14195,Berlin,DE,Mo-Fr 09:00-20:00,limited,,,wlan,DE-188,,,,,http://www.ub.fu-berlin.de,,,http://www.ub.fu-berlin.de,13.2777683,52.4481214,POINT (13.2777683 52.4481214),Steglitz-Zehlendorf,Dahlem,0605,11006006
Patentenbibilothek,library,12942410449,,,Bonhoefferweg,,10117,Berlin,Germany,,,,,,,,,,,,,,,13.3766422,52.526706,POINT (13.3766422 52.526706),Mitte,Mitte,0101,11001001
Bibliothek des Konservatismus,library,13233046383,,,Fasanenstraße,4,10623,Berlin,Germany,,,,,,,,,,https://www.bdk-berlin.org/,,,,https://www.bdk-berlin.org/,13.3278048,52.5073595,POINT (13.3278048 52.5073595),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
BoB: Studierenden Zentrum,library,13256958201,,,Arnimallee,14,14195,Berlin,Germany,Mo-Th 08:00-21:00; Fr 08:00-18:00,,,,wlan,,,,,https://www.physik.fu-berlin.de/fachbereich/raeume/bob/index.html,,,,https://www.physik.fu-berlin.de/fachbereich/raeume/bob/index.html,13.2951852,52.456514,POINT (13.2951852 52.456514),Steglitz-Zehlendorf,Dahlem,0605,11006006
Bibliothek des Deutschen Zentralinstituts für Soziale Fragen,library,13301410694,private_non_profit,Deutsches Zentralinstituts für Soziale Fragen,Bernadottestraße,94,14195,Berlin,Germany,Mo-Th 10:00-16:00,,,,,DE-B249,,,,,,,,,13.2924086,52.4653361,POINT (13.2924086 52.4653361),Steglitz-Zehlendorf,Dahlem,0605,11006006
Totschka,library,13308471228,,,Prenzlauer Allee,216,10405,Berlin,Germany,Mo 15:00-18:00; Th 09:00-13:00; Fr 15:00-18:00; Sa 14:00-17:00; Su 11:00-17:00,,,,,,,,+491742099477,https://www.totschka-berlin.de/,,info@totschka-berlin.de,+491742099477,https://www.totschka-berlin.de/,13.4211366,52.5353953,POINT (13.4211366 52.5353953),Pankow,Prenzlauer Berg,0301,11003003
Ilse-Hinze-Bücherei,library,13366816284,,,Dambockstraße,,13503,Berlin,Germany,"We-Mo 11:00-12:30, Di 16:30-18:00, Mi 09:30-11:00(childs), Th 15:30-17:00",,,,,,,,+49 30 4306-651,,,,+49 30 4306-651,,13.2483155,52.6099589,POINT (13.2483155 52.6099589),Reinickendorf,Heiligensee,1204,11012012
Staatsbibliothek zu Berlin,library,180594,public,Preußischer Kulturbesitz,Unter den Linden,8,10117,Berlin,DE,Mo-Sa 08:00-22:00; Su 10:00-18:00,yes,yes,,wlan,DE-1,,,+49 30 266433888,,https://staatsbibliothek-berlin.de/,,+49 30 266433888,https://staatsbibliothek-berlin.de/,13.391510299008777,52.518238546373524,"POLYGON ((13.3923536 52.5175043, 13.3923545 52.5174985, 13.3922237 52.5174907, 13.3922225 52.5174982, 13.3918369 52.5174752, 13.3918381 52.5174675, 13.3916425 52.5174558, 13.3914441 52.517444, 13.3914429 52.517451, 13.3910587 52.517428, 13.3910605 52.5174168, 13.3909287 52.5174089, 13.3909272 52.5174182, 13.3909053 52.5174169, 13.3909036 52.5174276, 13.3908902 52.5174268, 13.3908767 52.5175105, 13.3908911 52.5175114, 13.3908603 52.5177026, 13.3908071 52.5176994, 13.3907905 52.5178019, 13.3908129 52.5178032, 13.3907933 52.517925, 13.3907611 52.5181244, 13.390737 52.5181229, 13.3907229 52.5182106, 13.3907385 52.5182116, 13.3907057 52.5184151, 13.3906899 52.5184142, 13.3906772 52.5184931, 13.3906904 52.5184938, 13.3906885 52.5185058, 13.390703 52.5185066, 13.390665 52.5187422, 13.3906507 52.518831, 13.3906311 52.5188298, 13.3906159 52.5189238, 13.3906396 52.5189252, 13.3906383 52.5189332, 13.3907767 52.5189414, 13.3907778 52.5189344, 13.3912413 52.518962, 13.391239 52.5189768, 13.3913421 52.5189829, 13.3913433 52.518975, 13.391395 52.5189781, 13.3914439 52.518981, 13.3914423 52.5189907, 13.3915411 52.5189966, 13.3915431 52.5189846, 13.3920085 52.5190124, 13.392007 52.5190219, 13.3921439 52.5190301, 13.3921448 52.5190243, 13.3921586 52.5190251, 13.3921597 52.519018, 13.3921695 52.5190186, 13.3921845 52.5189256, 13.3921655 52.5189245, 13.3921881 52.5187847, 13.3922169 52.5186056, 13.3922392 52.5186069, 13.3922405 52.5185989, 13.3922525 52.5185996, 13.3922664 52.5185133, 13.3922561 52.5185127, 13.392277 52.5183835, 13.3922886 52.5183114, 13.3923005 52.5183122, 13.3923138 52.5182292, 13.3922957 52.5182281, 13.3922972 52.5182185, 13.3922859 52.5182178, 13.3923165 52.5180277, 13.3923339 52.5179199, 13.3923375 52.5178979, 13.3923625 52.5178994, 13.3923789 52.517798, 13.3923279 52.517795, 13.392359 52.5176021, 13.3923712 52.5176029, 13.3923847 52.517519, 13.3923717 52.5175182, 13.3923738 52.5175056, 13.3923536 52.5175043), (13.3918067 52.5176233, 13.3918078 52.5176169, 13.3920386 52.5176317, 13.3919998 52.5178554, 13.391703 52.5178363, 13.3917056 52.5178215, 13.3916595 52.5178185, 13.3915815 52.5178135, 13.3915143 52.5178092, 13.3914561 52.5178055, 13.3914534 52.5178208, 13.3911568 52.5178018, 13.3911957 52.5175776, 13.3914252 52.5175924, 13.3914241 52.5175987, 13.3914482 52.5176002, 13.3914473 52.5176057, 13.3914758 52.5176076, 13.3914768 52.5176021, 13.3915508 52.5176068, 13.3915499 52.5176121, 13.3915788 52.517614, 13.3915797 52.5176087, 13.3916163 52.517611, 13.3916512 52.5176133, 13.3916503 52.5176184, 13.3916788 52.5176202, 13.3916797 52.5176151, 13.3917552 52.51762, 13.3917542 52.5176253, 13.3917811 52.517627, 13.391782 52.5176217, 13.3918067 52.5176233), (13.3922198 52.5178416, 13.3922075 52.5179219, 13.3920793 52.5179146, 13.3920916 52.5178344, 13.3922198 52.5178416), (13.3913478 52.5181146, 13.390957 52.518091, 13.3909821 52.5179378, 13.3913382 52.5179594, 13.391326 52.5180343, 13.3913606 52.5180364, 13.3913478 52.5181146), (13.3917686 52.5179872, 13.3921309 52.5180098, 13.3921052 52.5181629, 13.3917288 52.5181395, 13.3917421 52.5180601, 13.3917562 52.518061, 13.3917686 52.5179872), (13.39091 52.5184258, 13.3909408 52.5182273, 13.3911875 52.5182415, 13.3911567 52.51844, 13.39091 52.5184258), (13.3920477 52.5184964, 13.3917884 52.5184807, 13.3918203 52.5182847, 13.3920796 52.5183003, 13.3920477 52.5184964), (13.3908854 52.5185617, 13.3911366 52.5185759, 13.3910945 52.5188512, 13.3908433 52.518837, 13.3908854 52.5185617), (13.3919765 52.5189093, 13.3917198 52.5188934, 13.3917661 52.5186168, 13.3920228 52.5186326, 13.3919765 52.5189093))",Mitte,Mitte,0101,11001001
Charité Medizinische Bibliothek Campus Virchow-Klinikum,library,2728323,,,Weststraße,1,13353,Berlin,DE,Mo-Fr 09:00-20:00; Sa 09:00-18:00,,,,wlan,DE-578-3,,,,https://bibliothek.charite.de/,,,,https://bibliothek.charite.de/,13.339930725892767,52.54168828283642,"POLYGON ((13.3397525 52.5418231, 13.3398002 52.5418265, 13.3397977 52.5418394, 13.340208 52.5418687, 13.340217 52.5418219, 13.3403389 52.5418306, 13.3403515 52.5417655, 13.3403397 52.5417647, 13.3403496 52.5417135, 13.3403575 52.5416729, 13.3403707 52.5416738, 13.3403837 52.5416068, 13.3402664 52.5415984, 13.3402754 52.5415521, 13.3398626 52.5415226, 13.3398543 52.5415654, 13.3395214 52.5415416, 13.339477 52.5415946, 13.3394422 52.5416501, 13.3394529 52.5417121, 13.3394775 52.5417686, 13.3397591 52.5417888, 13.3397525 52.5418231), (13.3398357 52.5417251, 13.3398526 52.5416335, 13.3399446 52.5416407, 13.3399264 52.5417324, 13.3398357 52.5417251))",Mitte,Wedding,0105,11001001
